,C1,C2,C3,C4,C5,C6
C1,1.0,0.2925019576019196,-0.024922239313961286,0.06055357418363515,-0.07555723462387076,0.0716360490474683
C2,0.2925019576019196,1.0,-0.0949763926536949,0.047917488670980654,0.047962692570466765,-0.08266005879107946
C3,-0.024922239313961286,-0.0949763926536949,1.0,-0.010174461594456058,-0.035584210233947554,-0.003911679750384221
C4,0.06055357418363515,0.047917488670980654,-0.010174461594456058,1.0,-0.005443431506006798,-0.01774433602469185
C5,-0.07555723462387076,0.047962692570466765,-0.035584210233947554,-0.005443431506006798,1.0,0.2446841314530867
C6,0.0716360490474683,-0.08266005879107946,-0.003911679750384221,-0.01774433602469185,0.2446841314530867,1.0
