date,or_size_pct,or_close_position,breakout_dir,breakout_minute,vol_ratio,mfe_pre_retest_pct,mins_to_retest,outcome_60min,outcome_120min,outcome_cierre,mins_resolution
2019-05-09,0.4863,0.0224,down,15,0.9135,0.3547,14.0,continuacion,continuacion,continuacion,2.0
2019-05-13,0.6503,0.7088,down,21,1.348,0.2832,6.0,continuacion,continuacion,continuacion,4.0
2019-05-14,0.3685,0.9092,up,15,1.0465,0.2222,49.0,continuacion,continuacion,continuacion,7.0
2019-05-17,0.6452,0.8307,up,17,0.925,0.7328,114.0,neutro,neutro,falla,215.0
2019-05-20,0.7417,0.2707,up,55,0.6807,0.2879,19.0,neutro,neutro,neutro,
2019-05-21,0.2752,0.4188,down,15,1.1602,0.2322,31.0,falla,falla,falla,28.0
2019-05-22,0.3768,0.6916,up,24,0.8323,0.3081,24.0,neutro,neutro,falla,172.0
2019-05-29,0.4443,0.6415,up,45,0.9759,0.2265,22.0,falla,falla,falla,46.0
2019-06-05,0.49,0.0116,down,15,0.6071,0.2561,11.0,continuacion,continuacion,continuacion,17.0
2019-06-12,0.4335,0.6195,down,54,0.6599,0.2192,13.0,neutro,continuacion,continuacion,98.0
2019-06-17,0.4649,0.8353,up,18,1.0863,0.2668,29.0,continuacion,continuacion,continuacion,18.0
2019-06-18,0.9714,0.8834,up,16,0.9915,0.2617,97.0,neutro,neutro,neutro,
2019-06-21,0.2663,0.3812,up,26,0.5463,0.5825,116.0,neutro,neutro,neutro,
2019-06-28,0.3599,0.2101,down,18,1.061,0.2194,26.0,neutro,neutro,neutro,
2019-07-05,0.2057,0.2072,down,15,0.7554,0.2421,22.0,continuacion,continuacion,continuacion,19.0
2019-07-10,0.5428,0.7788,up,18,1.1226,0.2284,18.0,neutro,falla,falla,72.0
2019-07-17,0.2129,0.7543,down,44,0.7264,0.3051,89.0,neutro,neutro,continuacion,252.0
2019-07-19,0.311,0.0849,down,15,0.9473,0.2376,33.0,continuacion,continuacion,continuacion,10.0
2019-07-22,0.3239,0.8694,up,17,0.7811,0.2395,26.0,neutro,neutro,continuacion,232.0
2019-07-23,0.2746,0.2245,down,15,0.9219,0.3367,56.0,neutro,continuacion,continuacion,82.0
2019-07-24,0.3679,0.8718,up,16,0.9061,0.3407,76.0,neutro,neutro,continuacion,180.0
2019-07-25,0.4597,0.1236,down,16,0.9477,0.202,12.0,continuacion,continuacion,continuacion,29.0
2019-07-29,0.4845,0.0755,down,20,0.8645,0.4325,90.0,neutro,neutro,neutro,
2019-08-05,0.6312,0.0443,down,15,1.071,0.3949,78.0,continuacion,continuacion,continuacion,57.0
2019-08-06,0.499,0.6923,down,17,1.0226,0.3625,38.0,continuacion,continuacion,continuacion,49.0
2019-08-07,0.5868,0.1783,down,15,0.1817,0.4158,10.0,falla,falla,falla,15.0
2019-08-09,0.3791,0.1408,down,15,1.0521,0.353,20.0,continuacion,continuacion,continuacion,3.0
2019-08-14,0.4858,0.3671,down,15,0.8058,0.2275,31.0,continuacion,continuacion,continuacion,21.0
2019-08-16,0.3586,0.5439,up,50,0.9536,0.3032,2.0,continuacion,continuacion,continuacion,21.0
2019-08-19,0.3676,0.7395,down,24,0.8206,0.2713,33.0,neutro,falla,falla,75.0
2019-08-23,0.2251,0.5952,down,17,0.6045,0.365,12.0,falla,falla,falla,3.0
2019-08-26,0.409,0.1079,down,17,0.6318,0.3104,40.0,falla,falla,falla,46.0
2019-08-28,0.6561,0.575,up,26,0.9128,0.245,21.0,continuacion,continuacion,continuacion,25.0
2019-09-25,0.3206,0.0682,down,15,0.849,0.6615,23.0,falla,falla,falla,46.0
2019-09-27,0.3595,0.2353,down,16,0.9415,0.5028,59.0,continuacion,continuacion,continuacion,52.0
2019-09-30,0.3202,0.485,up,20,0.9428,0.2186,29.0,neutro,continuacion,continuacion,67.0
2019-10-02,0.622,0.2087,down,20,0.8796,0.2921,15.0,continuacion,continuacion,continuacion,26.0
2019-10-03,0.4744,0.3904,down,30,1.2689,0.9749,27.0,falla,falla,falla,36.0
2019-10-08,0.4724,0.2955,down,20,0.9235,0.4133,30.0,neutro,neutro,falla,145.0
2019-10-11,0.315,0.9318,up,15,1.0146,0.2142,5.0,continuacion,continuacion,continuacion,13.0
2019-10-21,0.3173,0.5254,down,19,0.7664,0.2124,22.0,neutro,falla,falla,62.0
2019-10-24,0.2229,0.652,down,23,0.9538,0.3258,51.0,falla,falla,falla,45.0
2019-10-31,0.3203,0.0491,down,15,0.8579,0.5533,81.0,neutro,neutro,neutro,
2019-11-06,0.2662,0.2844,down,20,0.7378,0.2356,116.0,continuacion,continuacion,continuacion,2.0
