or_duration_min,dia_semana,n,mfe_avg_pct,mfe_med_pct,vol_ratio_avg,pct_up
105,Wednesday,416,0.5621,0.3404,0.89,56.0
105,Thursday,409,0.5382,0.3466,0.9,55.7
105,Friday,403,0.512,0.3354,0.88,56.1
110,Monday,371,0.4582,0.2694,0.85,58.2
110,Tuesday,411,0.4506,0.299,0.87,54.7
110,Wednesday,411,0.565,0.3377,0.89,55.7
110,Thursday,402,0.5292,0.347,0.9,55.0
110,Friday,401,0.4965,0.3253,0.88,56.4
115,Monday,368,0.4539,0.269,0.86,58.7
115,Tuesday,408,0.442,0.2966,0.87,54.4
115,Wednesday,406,0.5571,0.3304,0.89,55.9
115,Thursday,398,0.5188,0.346,0.9,55.0
115,Friday,399,0.4858,0.3222,0.87,55.9
120,Monday,362,0.4521,0.2674,0.87,58.8
120,Tuesday,404,0.4341,0.2979,0.88,55.0
120,Wednesday,405,0.5502,0.329,0.91,55.6
120,Thursday,394,0.5232,0.3486,0.91,55.1
120,Friday,395,0.4764,0.3025,0.87,56.2
