or_duration_min,franja_horaria,n,pct_up,mfe_avg_pct,mfe_med_pct,vol_ratio_avg,strength_avg
60,10:30-11:00,1434,54.4,0.5959,0.4391,0.96,0.0128
60,11:00-11:30,324,52.2,0.6057,0.35,0.9,0.0246
60,11:30-12:00,142,54.2,0.474,0.3678,0.84,0.0185
60,12:00-12:30,87,51.7,0.5009,0.3922,0.77,0.0215
60,12:30-13:00,54,51.9,0.4123,0.2448,0.71,0.0125
60,13:00-13:30,45,60.0,0.6042,0.1918,0.68,0.0051
60,13:30-14:00,22,54.5,0.3926,0.2958,0.74,-0.0082
60,14:00-14:30,34,50.0,0.3579,0.2006,0.86,0.0082
60,14:30-15:00,19,52.6,0.2193,0.1024,0.77,0.012
60,15:00-15:30,38,50.0,0.2072,0.1223,0.79,0.0232
65,10:30-11:00,1259,54.9,0.5998,0.4448,0.93,0.0161
65,11:00-11:30,394,52.3,0.5869,0.3506,0.9,0.0231
65,11:30-12:00,165,54.5,0.4828,0.3678,0.85,0.0184
65,12:00-12:30,107,52.3,0.4875,0.3781,0.77,0.0192
65,12:30-13:00,66,56.1,0.4498,0.2696,0.72,0.0101
65,13:00-13:30,49,61.2,0.582,0.1918,0.69,0.0054
65,13:30-14:00,30,60.0,0.3885,0.2621,0.73,-0.0068
65,14:00-14:30,42,52.4,0.3682,0.1926,0.85,-0.0094
65,14:30-15:00,22,45.5,0.3044,0.1384,0.82,0.0172
65,15:00-15:30,45,51.1,0.2121,0.1287,0.79,0.0237
70,10:30-11:00,1100,54.8,0.5911,0.4294,0.93,0.0123
70,11:00-11:30,465,53.5,0.5967,0.3749,0.91,0.0211
70,11:30-12:00,191,57.1,0.4865,0.3677,0.85,0.0173
70,12:00-12:30,119,52.1,0.482,0.3557,0.78,0.021
70,12:30-13:00,71,56.3,0.4454,0.2688,0.72,0.0101
70,13:00-13:30,54,63.0,0.5805,0.1982,0.7,0.0094
70,13:30-14:00,37,56.8,0.4749,0.2633,0.74,-0.0014
70,14:00-14:30,51,54.9,0.4012,0.2078,0.87,-0.0065
70,14:30-15:00,24,50.0,0.3163,0.163,0.85,0.0153
70,15:00-15:30,49,51.0,0.2047,0.125,0.81,0.0231
75,10:30-11:00,920,54.9,0.5834,0.4233,0.93,0.0111
75,11:00-11:30,538,55.2,0.6054,0.3849,0.92,0.0197
75,11:30-12:00,219,56.6,0.4837,0.365,0.86,0.019
75,12:00-12:30,132,51.5,0.5209,0.3865,0.81,0.021
75,12:30-13:00,84,54.8,0.4626,0.2652,0.74,0.0144
75,13:00-13:30,62,62.9,0.5484,0.212,0.71,0.0145
75,13:30-14:00,41,58.5,0.4694,0.2633,0.75,-0.0025
75,14:00-14:30,53,52.8,0.3938,0.2078,0.88,-0.0057
75,14:30-15:00,30,46.7,0.2937,0.1734,0.84,0.0161
75,15:00-15:30,59,55.9,0.2021,0.1275,0.78,0.02
80,10:30-11:00,707,52.8,0.5724,0.3957,0.93,0.0084
80,11:00-11:30,651,57.9,0.6115,0.4001,0.91,0.0184
80,11:30-12:00,248,58.1,0.4934,0.3632,0.87,0.0186
80,12:00-12:30,147,52.4,0.5199,0.3613,0.83,0.0215
80,12:30-13:00,94,56.4,0.4432,0.2588,0.75,0.0125
80,13:00-13:30,69,59.4,0.5417,0.2144,0.73,0.0142
80,13:30-14:00,48,60.4,0.4745,0.2782,0.75,-0.0005
80,14:00-14:30,55,50.9,0.4501,0.2223,0.89,-0.0076
80,14:30-15:00,37,54.1,0.4144,0.1963,0.84,0.0204
80,15:00-15:30,67,58.2,0.195,0.125,0.78,0.0192
85,10:30-11:00,466,50.2,0.5514,0.3867,0.93,0.0103
85,11:00-11:30,792,58.5,0.6086,0.3998,0.92,0.0162
85,11:30-12:00,274,56.2,0.4916,0.3632,0.88,0.0185
85,12:00-12:30,162,51.2,0.5159,0.3585,0.84,0.0223
85,12:30-13:00,103,55.3,0.4324,0.2573,0.77,0.0133
85,13:00-13:30,80,58.8,0.5306,0.2161,0.74,0.0144
85,13:30-14:00,54,59.3,0.459,0.2782,0.75,0.0021
85,14:00-14:30,58,50.0,0.4427,0.2224,0.88,-0.0057
85,14:30-15:00,40,47.5,0.4456,0.2232,0.86,0.0212
85,15:00-15:30,73,57.5,0.1938,0.1275,0.79,0.02
90,11:00-11:30,1162,57.1,0.5812,0.3826,0.93,0.0127
90,11:30-12:00,307,54.1,0.4896,0.3512,0.9,0.0176
90,12:00-12:30,179,52.0,0.5262,0.3613,0.85,0.0198
90,12:30-13:00,112,54.5,0.4365,0.2602,0.78,0.0144
90,13:00-13:30,87,56.3,0.5329,0.2286,0.76,0.0145
90,13:30-14:00,57,57.9,0.4677,0.2949,0.77,0.0032
90,14:00-14:30,62,51.6,0.4385,0.2228,0.89,0.0007
90,14:30-15:00,43,46.5,0.4336,0.2262,0.9,0.0183
90,15:00-15:30,78,56.4,0.1925,0.1281,0.82,0.0205
95,11:00-11:30,992,57.4,0.5908,0.4,0.91,0.0112
