or_duration_min,variable,quintil,vol_ratio_avg,n,mfe_avg_pct,mfe_med_pct,pct_up
95,vol_ratio,Q4,0.9767,412,0.6569,0.4543,33.7
95,vol_ratio,Q5,1.2551,412,0.5972,0.3518,27.4
100,vol_ratio,Q1,0.5486,408,0.3286,0.2197,86.8
100,vol_ratio,Q2,0.7493,407,0.4408,0.3266,73.2
100,vol_ratio,Q3,0.8571,408,0.548,0.3654,57.1
100,vol_ratio,Q4,0.9734,406,0.677,0.4467,34.2
100,vol_ratio,Q5,1.2627,408,0.5734,0.3461,27.7
105,vol_ratio,Q1,0.548,404,0.3231,0.2192,87.6
105,vol_ratio,Q2,0.7478,403,0.4366,0.3052,72.7
105,vol_ratio,Q3,0.8561,403,0.5323,0.3447,55.3
105,vol_ratio,Q4,0.9745,403,0.68,0.4614,38.2
105,vol_ratio,Q5,1.2768,403,0.5667,0.3542,27.0
110,vol_ratio,Q1,0.5401,400,0.3288,0.229,87.8
110,vol_ratio,Q2,0.7428,400,0.434,0.3161,73.0
110,vol_ratio,Q3,0.8559,398,0.527,0.3508,56.5
110,vol_ratio,Q4,0.9739,399,0.6477,0.4225,35.6
110,vol_ratio,Q5,1.2804,399,0.5662,0.3407,26.8
115,vol_ratio,Q1,0.5384,396,0.3243,0.2262,87.4
115,vol_ratio,Q2,0.7428,397,0.4282,0.305,72.5
115,vol_ratio,Q3,0.8575,394,0.5473,0.3712,56.6
115,vol_ratio,Q4,0.9738,396,0.6021,0.4156,37.6
115,vol_ratio,Q5,1.2799,396,0.5591,0.3243,25.5
120,vol_ratio,Q1,0.549,392,0.3276,0.229,87.5
120,vol_ratio,Q2,0.7499,392,0.414,0.3102,73.2
120,vol_ratio,Q3,0.8667,392,0.5327,0.367,56.1
120,vol_ratio,Q4,0.9895,392,0.6405,0.41,36.2
120,vol_ratio,Q5,1.2859,392,0.5245,0.3189,27.3
