condiciones,n_condiciones,n,pct_continuacion,pct_falla,pct_neutro,mfe_post_avg,mfe_post_med,cont_ratio_avg,mae_falla_avg,mins_cont_avg,or_duration_min
OR_grande(top40%) + Break<=30min + Sesgo_alineado,3,1342,56.3,15.5,28.2,0.4034,0.3537,1.2241,0.8226,16.0,todos
OR_grande(top40%) + MFE_pre_0.3-0.5%,2,2669,56.1,6.0,38.0,0.4257,0.4131,1.1505,0.9341,19.9,todos
OR_grande(top40%) + Break<=30min,2,1759,55.9,18.5,25.5,0.4082,0.3576,1.236,0.7952,15.3,todos
OR_grande(top40%),1,8005,55.7,5.8,38.5,0.384,0.3457,1.2074,0.9718,17.1,todos
VolRatio_p40-p60 + Break<=30min,2,884,55.1,18.8,26.1,0.3649,0.3202,1.203,0.5567,17.8,todos
OR_grande(top40%) + MFE_pre_0.3-0.5% + VolRatio_p40-p60 + Sesgo_alineado,4,480,54.8,4.6,40.6,0.4278,0.4099,1.1691,0.9184,20.6,todos
OR_grande(top40%) + MFE_pre_0.3-0.5% + Break<=30min,3,581,54.7,18.4,26.9,0.4487,0.4322,1.1842,0.8046,18.8,todos
VolRatio_p40-p60 + Break<=30min + Sesgo_alineado,3,627,54.5,15.5,30.0,0.3604,0.3126,1.2032,0.5912,18.0,todos
OR_grande(top40%) + MFE_pre_0.3-0.5% + Break<=30min + Sesgo_alineado,4,447,54.1,15.4,30.4,0.448,0.4319,1.1894,0.7999,19.5,todos
OR_grande(top40%) + Sesgo_alineado,2,5595,54.0,5.1,40.8,0.3687,0.3331,1.1935,1.0137,17.3,todos
OR_grande(top40%) + MFE_pre_0.3-0.5% + Sesgo_alineado,3,1856,51.6,5.2,43.2,0.4283,0.4205,1.1545,0.9124,21.3,todos
VolRatio_p40-p60,1,4006,50.5,6.4,43.1,0.3506,0.3184,1.1785,0.7247,19.4,todos
MFE_pre_0.3-0.5% + VolRatio_p40-p60 + Break<=30min,3,293,50.5,21.5,28.0,0.4359,0.4165,1.183,0.5661,21.0,todos
VolRatio_p40-p60 + Sesgo_alineado,2,2710,50.1,5.1,44.7,0.3467,0.3109,1.1769,0.7908,20.0,todos
MFE_pre_0.3-0.5% + VolRatio_p40-p60,2,1288,48.3,6.7,45.0,0.4197,0.4061,1.154,0.6259,21.5,todos
Break<=30min + Sesgo_alineado,2,3134,48.2,19.1,32.7,0.3621,0.3176,1.1858,0.5337,18.1,todos
Break<=30min,1,4479,47.2,21.9,30.9,0.3632,0.32,1.1913,0.5144,17.7,todos
MFE_pre_0.3-0.5% + VolRatio_p40-p60 + Break<=30min + Sesgo_alineado,4,206,47.1,18.0,35.0,0.4375,0.417,1.1978,0.5785,21.7,todos
Sesgo_alineado,1,12666,44.9,6.6,48.5,0.3448,0.3072,1.1736,0.6531,19.7,todos
MFE_pre_0.3-0.5% + VolRatio_p40-p60 + Sesgo_alineado,3,866,44.8,5.3,49.9,0.4196,0.4074,1.1548,0.6589,22.0,todos
MFE_pre_0.3-0.5% + Break<=30min,2,1452,41.8,22.6,35.6,0.43,0.418,1.1572,0.5028,21.7,todos
MFE_pre_0.3-0.5% + Break<=30min + Sesgo_alineado,3,1031,41.4,19.9,38.7,0.4314,0.4198,1.1637,0.5117,22.3,todos
MFE_pre_0.3-0.5%,1,6489,40.8,7.9,51.3,0.4198,0.4075,1.1469,0.6183,21.6,todos
MFE_pre_0.3-0.5% + Sesgo_alineado,2,4005,39.1,6.9,54.0,0.4209,0.4099,1.1475,0.6009,23.1,todos
